variant_id,path,segment_id,entry_anchor_ms,mid_anchor_ms,exit_anchor_ms,tempo_factor,pitch_semitones,state_suggestion,phase_affinity,calm_final,centroid,rms
seg_0001__t00__p0,seg_0001__t00__p0.wav,seg_0001,669,8832,19765,0.0,0,S3,either,0.987242637776376,848.990812077226,0.0024285416584461
seg_0017__tm04__p-1,seg_0017__tm04__p-1.wav,seg_0017,210,9634,18383,-0.04,-1,S3,either,0.974527684548367,442.231888700168,0.0035062611568719
seg_0001__tm04__p-1,seg_0001__tm04__p-1.wav,seg_0001,697,9200,20589,-0.04,-1,S3,either,0.9721256195548926,786.9271868860892,0.0019739845301955
seg_0018__tm08__p-1,seg_0018__tm08__p-1.wav,seg_0018,233,12127,20210,-0.08,-1,S3,either,0.9651895842309928,462.7950730788433,0.0037682950496673
seg_0018__t00__p0,seg_0018__t00__p0.wav,seg_0018,214,11157,18593,0.0,0,S3,either,0.9615718784820212,495.30801885467486,0.0045556100085377
seg_0018__tm08__p0,seg_0018__tm08__p0.wav,seg_0018,233,12127,20210,-0.08,0,S3,either,0.959775018452641,502.3033814973338,0.0034702713601291
seg_0015__tm04__p0,seg_0015__tm04__p0.wav,seg_0015,225,12246,25346,-0.04,0,S3,either,0.9592694213673484,774.8670257407535,0.0079196831211447
seg_0017__tm08__p-1,seg_0017__tm08__p-1.wav,seg_0017,220,10053,19183,-0.08,-1,S3,either,0.9583413948345147,453.6254640812416,0.0033503184095025
seg_0001__tm08__p-1,seg_0001__tm08__p-1.wav,seg_0001,727,9600,21484,-0.08,-1,S3,either,0.9565245131272831,790.5786007758282,0.0016885283403098
seg_0015__tm08__p-1,seg_0015__tm08__p-1.wav,seg_0015,235,12778,26448,-0.08,-1,S3,either,0.95338470936029,719.2593811131749,0.0076959240250289
seg_0017__t00__p0,seg_0017__t00__p0.wav,seg_0017,202,9249,17648,0.0,0,S3,either,0.9521003411503997,479.8008360674266,0.0045007411390542
seg_0018__tm04__p0,seg_0018__tm04__p0.wav,seg_0018,223,11622,19368,-0.04,0,S3,either,0.9518039852796464,497.93800441586507,0.0036507467739284
seg_0015__tm04__p-1,seg_0015__tm04__p-1.wav,seg_0015,225,12246,25346,-0.04,-1,S3,either,0.9510606515933766,708.4393693242021,0.0077021135948598
seg_0018__tm04__p-1,seg_0018__tm04__p-1.wav,seg_0018,223,11622,19368,-0.04,-1,S3,either,0.9495446688794088,485.9031904470804,0.0030817708466202
seg_0017__tm08__p0,seg_0017__tm08__p0.wav,seg_0017,220,10053,19183,-0.08,0,S3,either,0.9470095587283288,478.3838062004875,0.0036231821868568
seg_0017__tm04__p0,seg_0017__tm04__p0.wav,seg_0017,210,9634,18383,-0.04,0,S3,either,0.9451167603188566,512.529535091519,0.003073301166296
seg_0001__tm08__p0,seg_0001__tm08__p0.wav,seg_0001,727,9600,21484,-0.08,0,S3,either,0.9447154407602372,883.316277093567,0.0018615360604599
seg_0017__t00__p-1,seg_0017__t00__p-1.wav,seg_0017,202,9249,17648,0.0,-1,S3,either,0.9438555050888852,454.2431722494729,0.0034845862537622
seg_0015__t00__p-1,seg_0015__t00__p-1.wav,seg_0015,216,11756,24332,0.0,-1,S3,either,0.9401070104281024,732.96760922536,0.0077499914914369
seg_0015__tm08__p0,seg_0015__tm08__p0.wav,seg_0015,235,12778,26448,-0.08,0,S3,either,0.9397086272435086,754.8103787404984,0.0084671778604388
seg_0001__t00__p-1,seg_0001__t00__p-1.wav,seg_0001,669,8832,19765,0.0,-1,S3,either,0.9396584652321172,859.3353264269639,0.0016585916746407
seg_0018__t00__p-1,seg_0018__t00__p-1.wav,seg_0018,214,11157,18593,0.0,-1,S3,either,0.9318937164889832,456.59293414531584,0.00364291947335
seg_0015__t00__p0,seg_0015__t00__p0.wav,seg_0015,216,11756,24332,0.0,0,S3,either,0.9279776027812494,756.0443876016482,0.0117234233766794
seg_0002__t00__p0,seg_0002__t00__p0.wav,seg_0002,992,6998,19093,0.0,0,S3,either,0.9262307908545092,845.4604636239854,0.0035406763199716
seg_0001__tm04__p0,seg_0001__tm04__p0.wav,seg_0001,697,9200,20589,-0.04,0,S3,either,0.9238992178805152,929.162669134246,0.0012378650717437
seg_0019__tm08__p-1,seg_0019__tm08__p-1.wav,seg_0019,701,6504,9322,-0.08,-1,S3,either,0.9178609789723788,780.3438620318298,0.0020043973345309
seg_0021__tm04__p-1,seg_0021__tm04__p-1.wav,seg_0021,355,7418,10875,-0.04,-1,S3,either,0.9152956883993048,888.329572850799,0.0039593917317688
seg_0002__tm04__p-1,seg_0002__tm04__p-1.wav,seg_0002,1033,7290,19889,-0.04,-1,S3,either,0.910977324964872,776.0495119161108,0.0022901266347616
seg_0000__tm04__p-1,seg_0000__tm04__p-1.wav,seg_0000,333,5755,7846,-0.04,-1,S3,either,0.905325031888322,953.072406135499,0.0014086394803598
seg_0000__tm08__p-1,seg_0000__tm08__p-1.wav,seg_0000,348,6005,8187,-0.08,-1,S3,either,0.9003947474467251,964.782145134601,0.0012074111727997
seg_0021__tm04__p0,seg_0021__tm04__p0.wav,seg_0021,355,7418,10875,-0.04,0,S3,either,0.8989009663651604,927.9891355704204,0.0038989663589745
seg_0000__tm08__p0,seg_0000__tm08__p0.wav,seg_0000,348,6005,8187,-0.08,0,S3,either,0.8967830128796046,1132.326123635561,0.0010480831842869
seg_0025__tm08__p-1,seg_0025__tm08__p-1.wav,seg_0025,232,11571,16914,-0.08,-1,S3,either,0.8961625908051165,1119.4041012256343,0.0067566903308033
seg_0025__t00__p-1,seg_0025__t00__p-1.wav,seg_0025,213,10645,15561,0.0,-1,S3,either,0.8936310216082097,1103.1609333912836,0.0068658282980322
seg_0019__t00__p-1,seg_0019__t00__p-1.wav,seg_0019,645,5984,8576,0.0,-1,S3,either,0.8910578092570091,813.8311202650216,0.0019845410715788
seg_0021__t00__p0,seg_0021__t00__p0.wav,seg_0021,341,7121,10440,0.0,0,S3,either,0.8887221908064792,876.8921293012636,0.0052730776369571
seg_0002__tm08__p0,seg_0002__tm08__p0.wav,seg_0002,1078,7607,20753,-0.08,0,S3,either,0.8862732850376683,857.3616693981262,0.0026755791623145
seg_0000__tm04__p0,seg_0000__tm04__p0.wav,seg_0000,333,5755,7846,-0.04,0,S3,either,0.8857556837014776,1216.1247501329435,0.0007664356380701
seg_0021__t00__p-1,seg_0021__t00__p-1.wav,seg_0021,341,7121,10440,0.0,-1,S3,either,0.8830827415912682,825.2900517506771,0.0036854702048003
seg_0019__tm04__p0,seg_0019__tm04__p0.wav,seg_0019,672,6233,8933,-0.04,0,S3,either,0.8827475220227944,976.145018038047,0.0014106140006333
seg_0021__tm08__p-1,seg_0021__tm08__p-1.wav,seg_0021,371,7740,11348,-0.08,-1,S3,either,0.8809833595630693,842.3340058334559,0.003648187033832
seg_0002__tm08__p-1,seg_0002__tm08__p-1.wav,seg_0002,1078,7607,20753,-0.08,-1,S3,either,0.8794051523773618,795.1172817719331,0.0026685197371989
seg_0025__t00__p0,seg_0025__t00__p0.wav,seg_0025,213,10645,15561,0.0,0,S3,either,0.8784099858526025,1159.6822387582215,0.0105382949113845
seg_0000__t00__p-1,seg_0000__t00__p-1.wav,seg_0000,320,5525,7532,0.0,-1,S3,either,0.8779421424700752,1149.6258889091307,0.0005834705079905
seg_0002__tm04__p0,seg_0002__tm04__p0.wav,seg_0002,1033,7290,19889,-0.04,0,S3,either,0.877767299044262,858.3827644134825,0.0025411851238459
seg_0025__tm08__p0,seg_0025__tm08__p0.wav,seg_0025,232,11571,16914,-0.08,0,S3,either,0.877349787678795,1214.5278625423375,0.0068005654029548
seg_0019__tm04__p-1,seg_0019__tm04__p-1.wav,seg_0019,672,6233,8933,-0.04,-1,S3,either,0.8768379821228041,909.8527051500276,0.0015736218774691
seg_0021__tm08__p0,seg_0021__tm08__p0.wav,seg_0021,371,7740,11348,-0.08,0,S3,either,0.8746659303048608,895.7525797327685,0.0041166520677506
seg_0019__tm08__p0,seg_0019__tm08__p0.wav,seg_0019,701,6504,9322,-0.08,0,S3,either,0.8713032771654595,880.1855391797112,0.0023184993769973
seg_0025__tm04__p0,seg_0025__tm04__p0.wav,seg_0025,222,11089,16209,-0.04,0,S3,either,0.86910056150211,1225.128861141694,0.0079172253608703
seg_0025__tm04__p-1,seg_0025__tm04__p-1.wav,seg_0025,222,11089,16209,-0.04,-1,S3,either,0.8667782538424197,1129.889025395164,0.0064936680719256
seg_0003__tm08__p-1,seg_0003__tm08__p-1.wav,seg_0003,855,6574,9228,-0.08,-1,S3,either,0.862967081292904,988.7062562828298,0.0043745096772909
seg_0003__tm04__p0,seg_0003__tm04__p0.wav,seg_0003,820,6300,8844,-0.04,0,S3,either,0.8545606802659401,1000.7996987601032,0.0041549918241798
seg_0003__t00__p0,seg_0003__t00__p0.wav,seg_0003,787,6048,8490,0.0,0,S3,either,0.8498276322178882,1071.9963356112337,0.0058362116105854
seg_0000__t00__p0,seg_0000__t00__p0.wav,seg_0000,320,5525,7532,0.0,0,S3,either,0.8482554929316828,1092.9177708167474,0.0016657615778967
seg_0019__t00__p0,seg_0019__t00__p0.wav,seg_0019,645,5984,8576,0.0,0,S3,either,0.8466929643497573,898.9154908749264,0.0027578431181609
seg_0004__t00__p0,seg_0004__t00__p0.wav,seg_0004,388,11136,18819,0.0,0,S3,either,0.8447850497761591,1058.9097869568527,0.0042092613875865
seg_0004__tm08__p-1,seg_0004__tm08__p-1.wav,seg_0004,422,12104,20455,-0.08,-1,S3,either,0.8433080614477991,961.5903857715614,0.003164357272908
seg_0004__tm04__p0,seg_0004__tm04__p0.wav,seg_0004,404,11600,19603,-0.04,0,S3,either,0.8406809711185796,1076.58536276193,0.0024831912014633
seg_0004__tm04__p-1,seg_0004__tm04__p-1.wav,seg_0004,404,11600,19603,-0.04,-1,S3,either,0.8403503473677238,979.3149903432844,0.0029480415396392
seg_0002__t00__p-1,seg_0002__t00__p-1.wav,seg_0002,992,6998,19093,0.0,-1,S3,either,0.8401875797251687,852.502039532457,0.0016931211575865
seg_0004__t00__p-1,seg_0004__t00__p-1.wav,seg_0004,388,11136,18819,0.0,-1,S3,either,0.8314711799895063,1031.3397441341967,0.0024539637379348
seg_0004__tm08__p0,seg_0004__tm08__p0.wav,seg_0004,422,12104,20455,-0.08,0,S3,either,0.82635204995643,1067.3837827965183,0.0030545808840543
seg_0013__tm08__p-1,seg_0013__tm08__p-1.wav,seg_0013,624,12000,18203,-0.08,-1,S3,either,0.8146762067049573,1803.8826043281056,0.0189640764147043
seg_0013__tm04__p-1,seg_0013__tm04__p-1.wav,seg_0013,598,11500,17445,-0.04,-1,S3,either,0.8125791958968764,1876.05344172258,0.0188350826501846
seg_0003__t00__p-1,seg_0003__t00__p-1.wav,seg_0003,787,6048,8490,0.0,-1,S3,either,0.8041554761640891,1162.4987012904753,0.0029626267496496
seg_0013__t00__p-1,seg_0013__t00__p-1.wav,seg_0013,574,11040,16747,0.0,-1,S3,either,0.7979184521966303,1823.7716367663977,0.0216324646025896
seg_0003__tm08__p0,seg_0003__tm08__p0.wav,seg_0003,855,6574,9228,-0.08,0,S3,either,0.7961979118558866,1399.4610171210654,0.0022770168725401
seg_0003__tm04__p-1,seg_0003__tm04__p-1.wav,seg_0003,820,6300,8844,-0.04,-1,S3,either,0.7953202258705538,1227.6543804451435,0.003637152025476
seg_0013__tm08__p0,seg_0013__tm08__p0.wav,seg_0013,624,12000,18203,-0.08,0,S3,either,0.7809290775762451,1988.966745919472,0.0206818412989377
seg_0013__tm04__p0,seg_0013__tm04__p0.wav,seg_0013,598,11500,17445,-0.04,0,S3,either,0.7779243424063703,1952.5354932220323,0.018840117380023
seg_0013__t00__p0,seg_0013__t00__p0.wav,seg_0013,574,11040,16747,0.0,0,S3,either,0.7740920276182224,1919.03042584428,0.030036250129342
seg_0012__tm04__p-1,seg_0012__tm04__p-1.wav,seg_0012,280,489,4566,-0.04,-1,S3,either,0.7407853472213749,1471.5084302922326,0.0006133896531537
seg_0012__t00__p-1,seg_0012__t00__p-1.wav,seg_0012,269,469,4383,0.0,-1,S3,either,0.7398633103138376,1403.424585743377,0.0006640300271101
seg_0012__tm04__p0,seg_0012__tm04__p0.wav,seg_0012,280,489,4566,-0.04,0,S3,either,0.7264269107347571,1608.2355012926,0.0006348891183733
seg_0012__tm08__p0,seg_0012__tm08__p0.wav,seg_0012,292,510,4764,-0.08,0,S3,either,0.7211226391782398,1666.6149807758536,0.0005642608739435
seg_0012__tm08__p-1,seg_0012__tm08__p-1.wav,seg_0012,292,510,4764,-0.08,-1,S3,either,0.71946062491635,1613.224931604432,0.0005134397652
seg_0012__t00__p0,seg_0012__t00__p0.wav,seg_0012,269,469,4383,0.0,0,S3,either,0.705931175724985,1560.3307941988517,0.0008520364644937
seg_0020__tm08__p-1,seg_0020__tm08__p-1.wav,seg_0020,327,6308,10203,-0.08,-1,S3,exhale,0.9644193096652026,677.4049715672576,0.0040185377001762
