src,satb,articulation,instrument,duration_s,dest
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-A#3-PB-loop.wav,S,sustain_long,Alto Flute,2.52,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-A#3-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-A#4-PB-loop.wav,S,sustain_long,Alto Flute,3.09,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-A#4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-A4-PB-loop.wav,S,sustain_long,Alto Flute,2.54,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-A4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-C#4-PB-loop.wav,S,sustain_long,Alto Flute,2.83,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-C#4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-C#5-PB-loop.wav,S,sustain_long,Alto Flute,3.4,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-C#5-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-C#6-PB-loop.wav,S,sustain_long,Alto Flute,2.84,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-C#6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-C5-PB-loop.wav,S,sustain_long,Alto Flute,2.81,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-C5-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-C6-PB-loop.wav,S,sustain_long,Alto Flute,2.81,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-C6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-D#6-PB-loop.wav,S,sustain_long,Alto Flute,2.58,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-D#6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-D5-PB-loop.wav,S,sustain_long,Alto Flute,2.88,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-D5-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-D6-PB-loop.wav,S,sustain_long,Alto Flute,2.76,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-D6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-E4-PB-loop.wav,S,sustain_long,Alto Flute,3.16,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-E4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-E5-PB-loop.wav,S,sustain_long,Alto Flute,3.01,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-E5-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F#4-PB-loop.wav,S,sustain_long,Alto Flute,2.97,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F#4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F#5-PB-loop.wav,S,sustain_long,Alto Flute,2.76,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F#5-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F#6-PB-loop.wav,S,sustain_long,Alto Flute,2.36,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F#6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F4-PB-loop.wav,S,sustain_long,Alto Flute,3.06,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-F6-PB-loop.wav,S,sustain_long,Alto Flute,2.48,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-F6-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-G#4-PB-loop.wav,S,sustain_long,Alto Flute,2.54,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-G#4-PB-loop.wav
C:/Users/elagio/vs/lukia/orchestral-intro/Virtual-Playing-Orchestra3-1-wave-files/Virtual-Playing-Orchestra3/libs/Iowa/samples/Alto-Flute-solo/Alto-Flute-sus-G#5-PB-loop.wav,S,sustain_long,Alto Flute,2.82,C:/Users/elagio/vs/lukia/orchestral-intro/VPO3_SATB/S/sustain_long/Alto Flute/Alto-Flute-sus-G#5-PB-loop.wav
